Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	MAP2K5	TUBA4A	Q13163	P68366	MAP2K5_TUBA4A	1.60	0.68	1.16E-05	3.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	TUBA1B	Q13163	P68363	MAP2K5_TUBA1B	1.60	0.68	1.16E-05	3.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	CCT8	Q13163	P50990	MAP2K5_CCT8	1.62	0.70	1.03E-04	3.09E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	EMD	Q13163	P50402	MAP2K5_EMD	1.90	0.93	4.84E-02	6.78E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	CCT3	Q13163	P49368	MAP2K5_CCT3	1.92	0.94	1.30E-05	6.37E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	CCT6A	Q13163	P40227	MAP2K5_CCT6A	1.77	0.82	4.51E-05	1.45E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	DNAJA1	Q13163	P31689	MAP2K5_DNAJA1	2.04	1.03	2.00E-06	3.22E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	TCP1	Q13163	P17987	MAP2K5_TCP1	1.93	0.95	2.15E-05	5.86E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	HSPA7	Q13163	P48741	MAP2K5_HSPA7	3.99	2.00	4.74E-03	6.75E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	HSPA6	Q13163	P17066	MAP2K5_HSPA6	3.99	2.00	4.74E-03	6.75E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	HSPA8	Q13163	P11142	MAP2K5_HSPA8	4.23	2.08	9.80E-06	1.95E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	HSP90AB1	Q13163	P08238	MAP2K5_HSP90AB1	4.92	2.30	4.78E-05	6.55E-10	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K5	HSPA1A	Q13163	P08107	MAP2K5_HSPA1A	3.60	1.85	1.09E-03	5.16E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	HSP90AA1	Q13163	P07900	MAP2K5_HSP90AA1	5.92	2.57	8.03E-05	6.70E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K5	TUBB	Q13163	P07437	MAP2K5_TUBB	1.83	0.87	1.25E-05	1.03E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	HSPB1	Q13163	P04792	MAP2K5_HSPB1	2.32	1.21	1.52E-03	6.57E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	BAG2	Q13163	O95816	MAP2K5_BAG2	5.23	2.39	2.58E-04	1.50E-10	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	DNAJA2	Q13163	O60884	MAP2K5_DNAJA2	2.27	1.18	1.16E-05	8.69E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	MAGEB2	Q13163	O15479	MAP2K5_MAGEB2	1.69	0.76	6.98E-05	2.19E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP3K14	GNL3	Q99558	Q9BVP2	MAP3K14_GNL3	2.08	1.06	6.37E-03	1.84E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP3K14	H1FX	Q99558	Q92522	MAP3K14_H1FX	1.83	0.87	4.30E-03	4.16E-02	No	No	No	No	No
