inflammation	arthritis	hypertensive_disease	ischemia	rasopathies	NRASQ61R	Hydrops Fetalis	Hypertrophic Cardiomyopathy	HIV Infections	Vascular anomaly	Epidermal nevus	cholestasis	endometriosis	Gene.names
0	0	0	0	1	0	0	0	0	0	0	0	0	FAM98C
0	0	0	0	0	0	0	0	1	0	0	0	0	FAS
0	0	0	0	0	0	0	1	0	0	0	0	0	FASN
0	0	1	0	0	0	0	0	0	0	0	0	0	FAT1
0	1	0	0	0	0	0	0	0	0	0	0	0	FAXDC2
0	0	0	0	0	0	0	0	0	0	0	0	1	FBLN1
0	0	0	0	0	0	0	0	0	0	0	0	1	FBN1
0	0	0	0	0	0	0	0	1	0	0	0	0	FCER2
0	1	0	0	0	0	0	0	0	0	0	0	0	FCGR1A
0	0	0	1	0	0	0	0	0	0	0	0	0	FCGR2A
0	0	0	1	0	0	0	0	1	0	0	0	0	FCGR3A
0	1	0	0	0	0	0	0	0	0	0	0	0	FCHSD2
0	0	0	0	0	0	1	0	0	0	0	0	0	FCRL4
0	0	0	0	0	0	1	0	0	0	0	0	0	FEN1
0	0	0	1	0	0	0	0	0	0	0	0	0	FES
0	0	0	1	0	0	0	0	0	0	0	0	0	FEV
0	0	0	1	0	0	0	0	0	0	0	0	0	FEZ2
0	0	0	1	0	0	0	0	0	0	0	0	0	FGB
0	0	0	1	0	0	0	0	0	0	0	0	0	FGF1
1	0	0	1	0	0	0	0	0	0	0	0	0	FGF2
0	0	1	0	0	0	0	0	0	0	0	0	0	FGF21
0	0	0	0	0	0	0	0	0	0	1	0	0	FGFR3
0	0	0	0	0	0	0	1	0	0	0	0	0	FHL1
0	0	0	0	0	0	0	1	0	0	0	0	0	FHOD3
0	1	0	0	0	0	0	0	0	0	0	0	0	FILIP1
0	0	0	0	0	0	0	0	0	0	0	0	1	FKBP5
0	0	0	0	0	0	0	1	0	0	0	0	0	FLNC
0	0	0	0	0	0	1	0	0	0	0	0	0	FLT4
