diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Global developmental delay	C0557874	CURATED	388	EEF1B2,CEP104,PIK3CA,EPHA5,CHAF1B,BRAF,NFE2L1,SUCLA2	8	8/237	8/14132	0.476323449599274	14132	0.660617334748028	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of breast	C0006142	CURATED	744	KRAS,LZTR1,MYH9,PIK3CA,VPS72,HDAC7,ROBO1,BCAS2,SPTAN1,FN1,GSN,RGL1,F5,ARHGAP11A	14	14/237	14/14132	0.480316625273257	14132	0.660617334748028	combined_HrasG13R	HrasG13R	combined	Active
Adenoid Cystic Carcinoma	C0010606	CURATED	97	HRAS,ASPM,PIK3CA	3	3/237	3/14132	0.486034175468834	14132	0.660617334748028	combined_HrasG13R	HrasG13R	combined	Active
Adult Glioblastoma	C0278878	CURATED	98	NRAS,LZTR1,FN1	3	3/237	3/14132	0.49143484658085	14132	0.660617334748028	combined_HrasG13R	HrasG13R	combined	Active
Primary Glioblastoma	C1514422	CURATED	98	FN1,LZTR1,NRAS	3	3/237	3/14132	0.49143484658085	14132	0.660617334748028	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of urinary bladder	C0005684	CURATED	218	HRAS,PIK3CA,USP7,MPO,KRAS	5	5/237	5/14132	0.498838633932942	14132	0.665118178577256	combined_HrasG13R	HrasG13R	combined	Active
Sensorineural Hearing Loss (disorder)	C0018784	CURATED	103	F5,MYH9,NEFL	3	3/237	3/14132	0.517896653236047	14132	0.678345438282456	combined_HrasG13R	HrasG13R	combined	Active
Glioblastoma	C0017636	CURATED	104	FN1,NRAS,LZTR1	3	3/237	3/14132	0.523078710030135	14132	0.678345438282456	combined_HrasG13R	HrasG13R	combined	Active
Endometriosis	C0014175	CURATED	165	ARHGAP28,KRAS,ANKH,TAGLN	4	4/237	4/14132	0.525304089401658	14132	0.678345438282456	combined_HrasG13R	HrasG13R	combined	Active
Mental Retardation	C0025362	CURATED	165	KRAS,EEF1B2,RALGDS,SC5D	4	4/237	4/14132	0.525304089401658	14132	0.678345438282456	combined_HrasG13R	HrasG13R	combined	Active
Mood Disorders	C0525045	CURATED	168	HCN4,MAP2,KCTD12,SIRT2	4	4/237	4/14132	0.537478304407862	14132	0.684477526372985	combined_HrasG13R	HrasG13R	combined	Active
Kidney Failure, Chronic	C0022661	CURATED	107	MPO,F5,MYH9	3	3/237	3/14132	0.538400005500701	14132	0.684477526372985	combined_HrasG13R	HrasG13R	combined	Active
Microcephaly (physical finding)	C4551563	CURATED	357	SCRIB,YWHAG,SPTAN1,ZIC2,ASPM,SVBP,KIF11	7	7/237	7/14132	0.555601049202303	14132	0.700912092839828	combined_HrasG13R	HrasG13R	combined	Active
Bipolar Disorder	C0005586	CURATED	483	CSRP1,HSP90B1,NEFL,YWHAZ,KCTD12,YWHAE,YWHAH,SP8,MAP2	9	9/237	9/14132	0.564833014133346	14132	0.707119193266173	combined_HrasG13R	HrasG13R	combined	Active
Peripheral Neuropathy	C0031117	CURATED	116	HSPB8,SPTAN1,NEFL	3	3/237	3/14132	0.582302613326046	14132	0.72346688322327	combined_HrasG13R	HrasG13R	combined	Active
Optic Atrophy	C0029124	CURATED	189	RDH12,ITM2B,KIF11,RP9	4	4/237	4/14132	0.61745889552702	14132	0.754432711776529	combined_HrasG13R	HrasG13R	combined	Active
Lupus Erythematosus, Systemic	C0024141	CURATED	124	CHAF1A,C4A,CA2	3	3/237	3/14132	0.618693819084716	14132	0.754432711776529	combined_HrasG13R	HrasG13R	combined	Active
Neoplastic Syndromes, Hereditary	C0027672	CURATED	190	PIK3CA,LZTR1,HRAS,PRKAR1A	4	4/237	4/14132	0.62102692737702	14132	0.754432711776529	combined_HrasG13R	HrasG13R	combined	Active
HIV Infections	C0019693	CURATED	127	U2AF1,HSPH1,PSMC5	3	3/237	3/14132	0.631700361306512	14132	0.761293558364479	combined_HrasG13R	HrasG13R	combined	Active
Thrombocytopenia	C0040034	CURATED	128	ACTN1,RAP1B,MYH9	3	3/237	3/14132	0.635958643267888	14132	0.761293558364479	combined_HrasG13R	HrasG13R	combined	Active
Bladder Neoplasm	C0005695	CURATED	206	USP7,MPO,KRAS,HRAS	4	4/237	4/14132	0.675018614757603	14132	0.781242170087088	combined_HrasG13R	HrasG13R	combined	Active
Acute polyarticular juvenile rheumatoid arthritis	C0157916	CURATED	138	THBS1,KRAS,MAP2	3	3/237	3/14132	0.676441391172967	14132	0.781242170087088	combined_HrasG13R	HrasG13R	combined	Active
Pauciarticular juvenile rheumatoid arthritis	C0157917	CURATED	138	MAP2,THBS1,KRAS	3	3/237	3/14132	0.676441391172967	14132	0.781242170087088	combined_HrasG13R	HrasG13R	combined	Active
Monoarticular juvenile rheumatoid arthritis	C0157918	CURATED	138	MAP2,KRAS,THBS1	3	3/237	3/14132	0.676441391172967	14132	0.781242170087088	combined_HrasG13R	HrasG13R	combined	Active
Juvenile Chronic Polyarthritis	C0409667	CURATED	138	KRAS,THBS1,MAP2	3	3/237	3/14132	0.676441391172967	14132	0.781242170087088	combined_HrasG13R	HrasG13R	combined	Active
Leukemia, Myelocytic, Acute	C0023467	CURATED	210	TFPI2,KRAS,ANXA5,NRAS	4	4/237	4/14132	0.687600024172011	14132	0.78857625149797	combined_HrasG13R	HrasG13R	combined	Active
Neurodevelopmental Disorders	C1535926	CURATED	674	PSMC5,CHAMP1,KIF11,EEF1B2,USP7,EEF1D,SPTBN1,MDM1,SPTAN1,U2AF2,RALGDS	11	11/237	11/14132	0.699243006331237	14132	0.796360090543909	combined_HrasG13R	HrasG13R	combined	Active
