Majority protein IDs	Gene_name_canonical	graph_localization_annotation	umap_1	umap_2	3D_umap_1	3D_umap_2	3D_umap_3
A0A140VK12;Q9UBF2;Q9H9B7;B3KND4;Q9NUP3	COPG2	ERGIC	-9.621866	-3.1937637	9.330305	4.470161	6.8853292
A0A024R5P6;Q9BSY9;A0A024R5P9	DESI2	ERGIC	-9.330912	-3.2623734	9.039345	4.4335876	6.9300222
Q9UHF1;A0A024R8F5	EGFL7	ERGIC	-9.388489	-3.1534526	9.122713	4.2094374	6.8089304
A2TJK5;Q5JWS0;H0Y5K5;Q9Y282;O95330;A0A1W2PPS8;B4DV36	ERGIC3	ERGIC	-9.427782	-3.141687	9.115209	4.2423024	6.8352585
B4DY51;X5D7G6;P0CG08;B7ZAQ6;X5DNN3;B4DT03;X5D9J6;A0A087WW82;A0A087WW78	GPR89B	ERGIC	-9.298578	-3.3377187	8.951684	4.4423103	6.904482
A0A1W2PNR9;Q9Y5U9	IER3IP1	ERGIC	-9.2960825	-3.3844357	8.983278	4.499141	6.8943253
A8K7T4;A0A384NPY7;Q12907;B4DWN1;D6RBV2;D6RDX1;D6RIU4	LMAN2	ERGIC	-9.238911	-3.4595087	8.902473	4.5460267	6.942708
Q7Z3D4;A8K613	LYSMD3	ERGIC	-9.451813	-3.1532154	9.165917	4.3546143	6.8367376
Q8NI22;B4DF17	MCFD2	ERGIC	-9.191889	-3.479264	8.828779	4.5164247	6.9542346
B2R7Q6;Q8TD49;Q9H1A3;H3BN86	METTL9	ERGIC	-9.421966	-3.3079324	9.111524	4.5003233	6.8535147
Q8NCE2;Q8WYY9	MTMR14	ERGIC	-10.2685795	-3.4929616	9.504397	4.8698363	6.0821295
Q9NYA4;J3QR65	MTMR4	ERGIC	-9.278621	-3.5288696	8.745759	4.393255	6.826087
Q5H8A4;Q8NCI4;E7EWV1;E7EM50;D6RFE8	PIGG	ERGIC	-9.186578	-3.4819982	8.83446	4.379209	6.928098
Q9NP72;B7Z4P9	RAB18	ERGIC	-9.19713	-3.4603593	8.89071	4.554891	6.953084
A8K6I8;A0A0A1HAV6;P20337	RAB3B	ERGIC	-9.0698395	-3.7359312	8.582346	4.5463276	7.004193
