bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	method
ArafWT	OBI1	AP-MS	no	stress_granule	1.79837003137174	3.26592289801885e-10	-0.275830042153901	0.000186860011331894	AP-MS
Raf1S257L	OBI1	AP-MS	no	stress_granule	1.43029074772826	2.67328349136601e-09	-0.335880776817067	4.67465426665223e-05	AP-MS
ArafS214P	OBSL1	shared	yes	unclassified	1.21012173016715	5.98769097878948e-07	0.601464274758291	7.17733808966753e-09	AP-MS
Raf1S257L	OBSL1	shared	yes	unclassified	1.24173471111654	1.57182535644008e-09	0.50144135776117	2.33678739110198e-08	AP-MS
BrafG469A	OCC1	TbID	no	plasma_membrane	-0.453312505188153	0.191330409785742	1.25098799681649	1.13073561044541e-06	TbID
MEK1DD	OCC1	TbID	no	plasma_membrane	-0.095264831689583	0.751709723929434	0.927475338141955	5.66630782651105e-06	TbID
MEK2AA	OCIAD1	TbID	no	mitochondrion	0.241617254391778	0.101569535904119	1.0316746976061	2.1944344415456e-09	Both
BrafD594N	OCIAD1	AP-MS	no	mitochondrion	1.31148427569496	2.06454705569343e-07	0.00446686001280245	0.960390732368206	Both
Raf1S259F	OCIAD1	TbID	no	mitochondrion	-0.289164901077355	0.0154942402750869	1.32649648814099	2.81840433781108e-10	Both
Raf1D486A	OCIAD1	TbID	no	mitochondrion	-0.554403860527315	0.000127094156099455	0.925741638267337	6.66052490638986e-09	Both
Raf1S257L	OCIAD1	TbID	no	mitochondrion	-0.292311816977259	0.0135446328045753	1.31293471100893	2.92570618614923e-10	Both
BrafG469A	OCIAD2	TbID	no	NA	0.256661541622761	0.193617281762027	0.848865013299837	4.76077180949536e-07	Both
ERK1WT	OCIAD2	AP-MS	no	NA	1.024268358402	0.000267038078474152	-0.153007405970452	0.165246496335362	Both
ERK2WT	OCIAD2	AP-MS	no	NA	1.06534067867046	0.000239490510151664	-0.416338382797742	0.000723558228320981	Both
KrasG12D	OCLN	TbID	yes	plasma_membrane	0.0428704771306982	0.642908490330805	0.797943983504032	5.79526271452765e-06	TbID
KrasG12V	OCLN	TbID	yes	plasma_membrane	0.0749608103843702	0.353395388728256	0.77308738602181	8.56062210115775e-06	TbID
KrasWT	OCLN	TbID	yes	plasma_membrane	0.121211986763193	0.238710720079969	0.787954839748153	7.84132515224497e-06	TbID
MEK2DD	OCRL	shared	yes	early_endosome	0.246763145792337	0.0164959032876774	0.880739510054096	3.44856866698257e-08	TbID
MEK2DD	ODR4	shared	no	ER	1.04144642933642	4.33664771870998e-07	0.526177245132848	1.22966985696748e-07	Both
Raf1S259F	ODR4	shared	no	ER	0.870199146010055	4.31750191998761e-05	1.11753419004882	4.11976999077606e-10	Both
BrafWT	OGDH	AP-MS	yes	mitochondrion	1.18819751847309	4.20272947139226e-08	0.172355350290754	0.154853733494561	AP-MS
ERK1WT	OGFR	AP-MS	no	cytosol	1.01683660769431	5.53714592121518e-05	-0.0774019675195266	0.152716977843771	AP-MS
Raf1S259F	OGT	AP-MS	yes	unclassified	1.38934113292117	6.61900394694777e-07	-0.443026061341838	6.00757580574458e-06	AP-MS
KrasG12D	OLA1	AP-MS	no	cytosol	2.15488592195979	8.92026303192737e-10	-0.0291991228239041	0.637217624479127	AP-MS
KrasS17N	OLA1	AP-MS	no	cytosol	1.99359684706961	2.79358219258732e-08	-0.0130309647773323	0.817413067749125	AP-MS
KrasG12V	OLA1	AP-MS	no	cytosol	2.07126766409761	6.26496559732452e-10	0.016833228778788	0.775009499095324	AP-MS
KrasWT	OLA1	AP-MS	no	cytosol	1.99263052761201	7.04709499641257e-08	-0.0218508382863103	0.759006128528283	AP-MS
BrafD594N	OPHN1	AP-MS	yes	NA	1.33853506722858	0.00922828155109565	-0.227033809244427	0.0143942771443379	AP-MS
MEK1AA	OPHN1	shared	yes	NA	1.26368105445808	0.0148631956583077	0.200880446817152	0.0208821472977493	AP-MS
BrafD594N	ORC1	TbID	yes	nucleus	NA	NA	0.87330060704091	2.08787028093952e-06	TbID
BrafV600E	ORC1	TbID	yes	nucleus	NA	NA	1.0648570253617	9.56349471434334e-08	TbID
Raf1D486A	ORMDL1	TbID	no	ER	-0.917768759335981	0.000804022599838839	0.969209395625792	1.12097057954985e-05	TbID
BrafG469A	ORMDL2	TbID	no	NA	NA	NA	1.22787843076027	9.78669230912374e-08	TbID
Raf1D486A	ORMDL2	TbID	no	NA	NA	NA	1.45873601384664	2.87842788987471e-08	TbID
ERK2DD	ORMDL2	TbID	no	NA	NA	NA	0.996580892045563	1.55734918138903e-06	TbID
MEK1WT	ORMDL2	TbID	no	NA	NA	NA	0.882992476335311	1.31588036588095e-06	TbID
ERK2AA	ORMDL2	TbID	no	NA	NA	NA	1.35613605759076	1.07327664301966e-07	TbID
NrasQ61K	ORMDL2	TbID	no	NA	NA	NA	1.00756799234688	2.25425423276551e-06	TbID
BrafD594N	ORMDL2	TbID	no	NA	NA	NA	1.10412543842324	6.02720049312321e-07	TbID
Raf1WT	ORMDL2	TbID	no	NA	NA	NA	1.06634445504833	1.22662534611418e-06	TbID
Raf1S257L	ORMDL2	TbID	no	NA	NA	NA	1.57444455875777	4.79248532035851e-08	TbID
BrafV600E	ORMDL2	TbID	no	NA	NA	NA	1.10184440462502	1.83579162836165e-07	TbID
BrafWT	ORMDL2	TbID	no	NA	NA	NA	0.895093466615544	4.56895505075136e-06	TbID
HrasS17N	ORMDL2	TbID	no	NA	NA	NA	1.37905761344476	6.01217760058458e-08	TbID
NrasWT	ORMDL2	TbID	no	NA	NA	NA	0.805310928299842	3.958316108369e-05	TbID
MEK1DD	ORMDL2	TbID	no	NA	NA	NA	0.908765194299876	2.24582910770102e-06	TbID
NrasS17N	ORMDL2	TbID	no	NA	NA	NA	0.863061682411489	6.83668039682352e-06	TbID
HrasG13R	ORMDL2	TbID	no	NA	NA	NA	0.782679716969196	1.23762998356045e-05	TbID
BrafV600E	OS9	TbID	no	ER	-0.468248775595994	0.00178524448497974	0.882759011318644	0.033990602079149	TbID
MEK2DD	OS9	shared	no	ER	0.406165513557	0.00368085786752028	1.40485323831185	3.51001937569429e-05	TbID
Raf1WT	OS9	TbID	no	ER	0.231258815457524	0.07718950789665	0.908187898638316	0.00714296732535746	TbID
BrafWT	OS9	TbID	no	ER	-0.572232784586238	0.00179654571147679	0.88379473238303	0.049942551510196	TbID
ArafS214P	OS9	shared	no	ER	0.938676764106568	1.57627446730502e-05	1.784856948672	3.36858217519179e-06	TbID
ArafWT	OS9	shared	no	ER	0.729391034486105	3.26417913559617e-05	2.18409954531056	6.48636901967282e-07	TbID
ArafD447A	OS9	shared	no	ER	0.453221743703421	0.00414076854376314	1.91404626379858	2.11483593951706e-06	TbID
HrasS17N	OS9	TbID	no	ER	-0.966363491941606	4.93227716743182e-06	0.917460204103111	0.0220674689203403	TbID
Raf1D486A	OS9	TbID	no	ER	-0.459352017431305	0.00123886021514401	1.00647540437261	0.0148136518393543	TbID
BrafG469A	OS9	TbID	no	ER	-0.655038896029645	0.000395399690052277	1.37268708803259	0.000301630931026591	TbID
ERK2AA	OS9	TbID	no	ER	-0.385213873564085	0.0049773574840185	1.36283759727366	0.000131194410305856	TbID
